web_title,section_name,publication_date
Manmohan Singh obituary,World news,2024-12-29T16:37:51Z
Huge election year worldwide sees weakening commitment to act on climate crisis,Environment,2024-11-23T11:00:40Z
"Who is Gautam Adani, the Indian billionaire charged in the US over bribery plot?",Business,2024-11-21T15:25:29Z
Keir Starmer to restart UK-India talks after previous negotiations stalled,Politics,2024-11-18T22:00:19Z
Narendra Modi to make ‘historic’ Guyana visit for energy talks,World news,2024-11-18T05:00:29Z
Narendra Modi condemns attack on Hindu temple in Canada as tensions rise,World news,2024-11-04T17:21:06Z
Canada alleges Indian minister behind plot to target Sikh separatists,World news,2024-10-30T10:37:15Z
Tuesday briefing: Canada puts India ‘on notice’ as row over alleged killing of Sikh activists escalates,World news,2024-10-22T05:44:10Z
"Drive-by shootings, arson and murder: is the Indian government trying to silence Canada’s Sikh activists?",World news,2024-10-19T11:00:16Z
Why has Canada accused Indian diplomats of ‘criminal’ activities?,World news,2024-10-15T15:33:47Z
Canadian police accuse India of working with criminal network to kill dissidents,World news,2024-10-15T14:39:55Z
Canadian police accuse Indian diplomats of ‘criminal’ activities including homicides,World news,2024-10-14T23:21:48Z
Opposition Congress party wins power in Indian-administered Kashmir,World news,2024-10-08T15:40:46Z
"Hi-tech, strategic: new wave of Kashmir militant attacks before elections stuns Indian forces",World news,2024-09-14T12:00:27Z
These 21st-century demagogues aren’t mavericks – they’ve repeated on us throughout history | George Monbiot,Opinion,2024-09-06T05:00:17Z
Why fascists hate universities | Jason Stanley,Opinion,2024-09-05T17:00:01Z
Farming the Revolution review – low-key look at Indian farmers’ street-camp protests,Film,2024-08-26T12:00:31Z
Ukraine war briefing: Biden and Zelenskiy talk as Ukraine prepares to mark independence day,World news,2024-08-24T05:09:29Z
Five of the best books about Indian politics,Books,2024-08-15T13:16:27Z
Priyanka Gandhi: Congress party pins hopes on charismatic member of India’s political dynasty,World news,2024-08-14T01:00:28Z
The New India by Rahul Bhatia review – how nationalism changed a country,Books,2024-07-31T06:30:16Z
Why is Modi sucking up to Putin? It’s simple and cynical: China and oil | Sergey Radchenko,Opinion,2024-07-10T10:00:53Z
Modi and Putin cement ‘bonds of friendship’ despite Ukraine tensions,World news,2024-07-09T14:25:08Z
India PM Modi to meet Putin in first trip to Russia since Ukraine war began,World news,2024-07-05T01:48:48Z
Open letter in India calls for withdrawal of go-ahead to prosecute Arundhati Roy,World news,2024-06-23T15:59:48Z
The hounding of Arundhati Roy shows there’s still no room for dissent in India | Salil Tripathi,Opinion,2024-06-21T14:32:37Z
Consensus or division? How Modi will manage Indian coalition government,World news,2024-06-17T07:27:53Z
Narendra Modi sworn in for third term as prime minister of India,World news,2024-06-09T15:21:08Z
‘Indian democracy fought back’: Modi humbled as opposition gains ground,World news,2024-06-09T10:08:10Z
‘A sweet breeze amid a heatwave’: liberals feel hope again following Narendra Modi’s loss of his majority,World news,2024-06-08T16:08:56Z
Muted election win for Modi may usher in new era for India’s oligarch class,World news,2024-06-07T13:27:17Z
British Indians: share your reaction to the election in India,World news,2024-06-07T10:29:05Z
Narendra Modi faces first coalition test as allied parties demand cabinet seats,World news,2024-06-06T17:10:53Z
Thursday briefing: Narendra Modi reaches a crossroads as India denies him a majority in election upset,World news,2024-06-06T05:49:38Z
Narendra Modi wins backing of allies to form Indian government,World news,2024-06-05T18:28:43Z
"‘Bit of a moment for Rahul Gandhi’: new dawn for India’s opposition, but where to now?",World news,2024-06-05T18:13:26Z
How voters turned against Narendra Modi in his party’s heartland,World news,2024-06-05T15:25:05Z
The hidden story behind India’s remarkable election results: lethal heat | Amitava Kumar,Opinion,2024-06-05T14:14:46Z
Modi loses parliamentary majority in Indian election,World news,2024-06-05T00:59:10Z
Narendra Modi loses aura of invincibility as predicted landslide fails to materialise,World news,2024-06-04T18:52:31Z
John Oliver on Narendra Modi: ‘India seems to be sliding toward authoritarianism’,Television & radio,2024-06-03T16:24:03Z
India elections: exit polls show Narendra Modi expected to win historic third term,World news,2024-06-03T03:50:16Z
The Incarcerations: BK-16 and the Search for Democracy in India by Alpa Shah – review,Books,2024-06-02T15:00:07Z
The Guardian view on India’s election: Narendra Modi’s audacity of hate | Editorial,Opinion,2024-05-30T17:52:58Z
India elections: PM Narendra Modi claims he has been chosen by God,World news,2024-05-27T06:56:56Z
Revealed: Meta approved political ads in India that incited violence,World news,2024-05-20T10:00:02Z
‘Modi builds highways but where are our jobs?’: rising inequality looms over India’s election,World news,2024-05-20T02:00:52Z
"‘He likes scaring people’: how Modi’s right-hand man, Amit Shah, runs India",World news,2024-05-16T04:00:57Z
‘Pressured to withdraw’: BJP accused of intimidation tactics in India polls ,World news,2024-05-14T02:00:22Z
Can Modi finally win over the southern states and reshape India’s electoral map?,World news,2024-05-07T03:00:03Z
"With India’s election in full swing, Narendra Modi is getting desperate – and dangerous | Salil Tripathi",Opinion,2024-04-29T12:51:42Z
India election: fears that Modi’s BJP will polarise voters in fight for key state,World news,2024-04-26T01:00:24Z
Narendra Modi accused of stirring tensions as voting in India continues,World news,2024-04-22T17:35:16Z
"As India goes to the polls, can democracy deliver a better life for all of its people? ",Global development,2024-04-20T06:30:19Z
Voting begins in India’s election with Modi widely expected to win third term,World news,2024-04-19T02:30:01Z
"Six weeks, 969 million voters, 2,600 parties: India’s mammoth election explained",World news,2024-04-18T04:00:20Z
The Guardian view on India’s election: fixing a win by outlawing dissent damages democracy | Editorial,Opinion,2024-04-17T17:32:19Z
Brought to boil: inside the 19 April Guardian Weekly,News,2024-04-17T17:05:08Z
‘I was told I’d be killed if I didn’t leave’: Himalayan state is a testing ground for Modi’s nationalism,World news,2024-04-14T10:00:50Z
A nagging doubt plagues world leaders wooing India: whose side is Narendra Modi really on? | Simon Tisdall,Opinion,2024-04-13T15:00:26Z
‘BJP v democracy’: India’s opposition alliance cries foul as election nears,World news,2024-04-09T01:00:37Z
India appears to confirm extrajudicial killings in Pakistan,World news,2024-04-05T15:40:16Z
India summons envoy after US criticises Delhi chief minister’s arrest,World news,2024-03-28T20:57:02Z
‘Brazen propaganda’: pro-Modi films flood Bollywood before India election,Film,2024-03-22T11:32:51Z
Who congratulated Putin on his election victory and what does it say about global alliances?,World news,2024-03-19T05:45:57Z
Narendra Modi’s BJP given £570m under scheme allowing anonymous donations,World news,2024-03-15T13:16:54Z
India enacts citizenship law criticised as ‘discriminatory’ to Muslims,World news,2024-03-12T05:07:03Z
Narendra Modi visits Kashmir for first time since state’s autonomy stripped,World news,2024-03-07T11:12:16Z
‘Why are you asleep?’ Rahul Gandhi pleads with India’s low castes to vote out Modi,World news,2024-02-27T04:00:10Z
India confronts Google over Gemini AI tool’s ‘fascist Modi’ responses,World news,2024-02-26T09:42:29Z
The Guardian view on Modi in Ayodhya: an alarming new era for India | Editorial,Opinion,2024-01-22T18:42:19Z
"As petals rained down and celebrities beamed, Modi unveiled his vision of a Hindu India | Mukul Kesavan",Opinion,2024-01-22T14:18:35Z
Divine moment or political gimmick? India gears up to inaugurate huge Hindu temple,World news,2024-01-15T13:49:18Z
Modi trip to Indian islands prompts Maldives row,World news,2024-01-08T10:00:45Z
BJP win in India’s 2024 general election ‘almost an inevitability’,World news,2023-12-31T09:02:05Z
The world in 2024: Guardian writers on what to look out for,World news,2023-12-30T12:00:33Z
The Guardian view on the power of hope: a Christmas gift in dark times | Editorial,Opinion,2023-12-22T18:30:03Z
"An MP, her ex and their dog: Mahua Moitra’s battle with India’s parliament",World news,2023-12-22T03:01:43Z
Indian government accused of attack on democracy as 141 MPs suspended,World news,2023-12-19T16:29:06Z
India’s supreme court upholds decision to strip Kashmir of special status,World news,2023-12-11T09:48:46Z
No 10 team arrives in Delhi to revive talks over free trade deal,Politics,2023-12-08T15:56:12Z
Arundhati Roy is being hounded by the Indian state. This is a test case for its democracy | Meena Kandasamy,Opinion,2023-10-20T11:35:24Z
The Guardian view on World Cup sportwashing: money talks – and what it says is troubling | Editorial,Opinion,2023-10-08T17:25:47Z
Delhi police search journalists’ homes in latest raids on media,World news,2023-10-03T15:16:27Z
‘A tool of political control’: how India became the world leader in internet blackouts,World news,2023-09-25T05:01:41Z
The Observer view on assassination of Sikh in Canada: Narendra Modi’s hubris is ill-judged | Observer editorial,Opinion,2023-09-24T05:04:13Z
"How should UK, US and Australia respond to Canada-India row?",World news,2023-09-20T18:52:20Z
 Canada killing adds to suspicions of Indian crackdown on Sikh separatists,World news,2023-09-19T18:33:17Z
The Guardian view on Canada and India: from partnership to public claims of a killing | Editorial,Opinion,2023-09-19T18:14:45Z
‘Chill out’: Albanese asked about calling Indian PM ‘the boss’ as storm brews over alleged assassination,Australia news,2023-09-19T06:19:27Z
Watered-down G20 statement on Ukraine is sign of India’s growing influence,World news,2023-09-10T13:01:35Z
"Modi has boosted his image, but the G20 summit looks set to achieve little else | Observer editorial",Opinion,2023-09-10T05:03:42Z
Rishi who? Sunak slips down pecking order in G20 scramble to court India,Politics,2023-09-09T21:30:34Z
G20 leaders agree joint declaration after deal on Ukraine statement,World news,2023-09-09T13:16:53Z
"What Modi won’t show the G20: Muslims killed, harassed by the police and abused in school | Rana Ayyub",Opinion,2023-09-09T07:00:16Z
Biden renews effort to woo India’s Modi in talks before G20 summit,US news,2023-09-08T18:48:58Z
The US should not normalize Modi’s autocratic and illiberal India at the G20 | Jason Stanley,Opinion,2023-09-08T10:05:35Z
Rishi Sunak to urge Narendra Modi to take stronger stance on Russia,World news,2023-09-07T21:30:37Z
India or Bharat? G20 invitations throw up question dating back centuries,World news,2023-09-07T01:00:12Z
"In newly gleaming Delhi, Modi hopes G20 will cement India as a major global player",World news,2023-09-05T23:12:07Z
The Guardian view on Russian history: the past is a work in progress | Editorial,Opinion,2023-09-03T17:25:18Z
Rishi Sunak rules out quick-fix trade deal with India,Politics,2023-09-03T14:00:15Z
Modi’s unifying message for the G20 summit looks dated as globalisation falls apart,Business,2023-09-02T23:05:17Z
Rahul Gandhi demands Modi investigation into Adani Group,World news,2023-08-31T17:58:12Z
" Modi-linked Adani family secretly invested in own shares, documents suggest",World news,2023-08-30T23:01:28Z
Putin defends invasion of Ukraine in Brics summit address,World news,2023-08-23T14:37:35Z
India lands spacecraft near south pole of moon in historic first,Science,2023-08-23T13:50:15Z
Manipur conflict drags ‘messiah of the poor’ Narendra Modi down to earth,World news,2023-08-10T18:00:42Z
Rahul Gandhi returns to parliament after Indian court suspends defamation conviction,World news,2023-08-07T05:47:56Z
"Australian government spent $42,000 on Sydney-themed Quad merchandise for event that didn’t go ahead",Australia news,2023-08-06T15:00:15Z
India’s supreme court suspends Rahul Gandhi’s two-year defamation jail term,World news,2023-08-04T14:50:21Z
Manipur: why is there conflict and how is the government responding?,World news,2023-07-21T17:27:27Z
Modi speaks out after video of sexual assault on women in Manipur emerges,World news,2023-07-20T13:14:06Z
While We Watched review – nerve-jangling portrait of an Indian reporter holding​ the ruling party to account,Film,2023-07-16T10:00:07Z
"‘Resistance is possible’: Ravish Kumar, the broadcaster risking his life to tell the truth about India​ today​",Media,2023-07-02T09:00:38Z
Opposition leader Rahul Gandhi begins two-day visit to unrest-hit Manipur,World news,2023-06-29T15:11:09Z
"Amid the battle of the giants, a new global order struggles to take shape | Simon Tisdall",Opinion,2023-06-25T06:00:29Z
Biden announces raft of new deals with Modi amid calls to address human rights concerns,US news,2023-06-22T18:16:16Z
Modi’s visit focuses attention on caste discrimination in US,US news,2023-06-22T15:55:56Z
India secretly works to preserve reputation on global Democracy Index,World news,2023-06-22T13:23:25Z
Indian minister invites opposition for talks over ‘dire’ Manipur situation,World news,2023-06-22T10:33:30Z
Narendra Modi does yoga in New York as US state visit gets under way,World news,2023-06-22T02:42:48Z
‘India is now a linchpin’: US looks to Narendra Modi’s visit to counter China,US news,2023-06-21T11:00:38Z
Indian court halts airing of documentary on Muslim minority,World news,2023-06-16T10:22:11Z
"India threatened to shut Twitter down, co-founder Jack Dorsey says",World news,2023-06-13T16:33:56Z
India’s vast new parliament opened by Narendra Modi amid opposition boycott,World news,2023-05-28T06:26:24Z
"Narendra Modi’s rock-star welcome to Sydney is part concert, part political rally and all about soft power",Australia news,2023-05-23T21:27:02Z
 US and Papua New Guinea sign pact amid Pacific militarisation concerns,World news,2023-05-22T09:07:53Z
Narendra Modi in Australia: a polarising leader meets a divided Indian diaspora,World news,2023-05-20T20:00:07Z
India’s Congress party defeats Narendra Modi’s BJP in Karnataka state elections,World news,2023-05-13T09:18:45Z
Trouble at the temple: ban on Muslims a sign of India’s new intolerance,World news,2023-05-12T04:00:43Z
Biden to host India’s Modi for state visit despite concerns over human rights,US news,2023-05-10T17:52:35Z
‘Modi for next 60 years’: BJP brings star attraction to Karnataka election,World news,2023-05-10T11:03:57Z
"The Guardian view on India at a crossroads: development, not dictatorship | Editorial",Opinion,2023-04-24T18:04:31Z
The Observer view on the growing threat to democracy in India | Observer editorial,Opinion,2023-04-23T05:31:30Z
Indian government agency investigates BBC over foreign exchange rules,Media,2023-04-13T10:35:51Z
India’s Rahul Gandhi fights ‘excessive’ defamation case ,World news,2023-04-09T19:37:52Z
Indian government accused of rewriting history after edits to schoolbooks,World news,2023-04-06T09:54:38Z
Twitter accused of censorship in India as it blocks Modi critics,World news,2023-04-05T01:00:20Z
A fresh era for India or a ‘ham-fisted’ ego trip? Welcome to Modi’s new seat of power | Rowan Moore,World news,2023-03-26T08:00:14Z
Rahul Gandhi found guilty of defaming Narendra Modi,World news,2023-03-23T13:43:09Z
India reduces security outside UK high commission in New Delhi,World news,2023-03-23T09:28:54Z
Indian novel about caste becomes first Tamil work longlisted for International Booker prize,Books,2023-03-21T03:00:02Z
‘Bulldozer politics’: Modi’s demolition drive fuels Muslims’ fears in Kashmir,World news,2023-03-19T05:00:30Z
Russia accuses west at G20 of blackmail and claims it has China’s support,World news,2023-03-02T15:55:37Z
"Australia’s ‘quiet diplomacy’ approach to human rights in India has failed, advocates say",Australia news,2023-03-02T14:00:05Z
Western countries stay silent as India cracks down on democracy | Letter,World news,2023-02-23T12:00:43Z
"Tax raids on BBC offices in India ‘deeply worrying’, says Labour",World news,2023-02-21T19:29:01Z
India enjoyed a free and vibrant media. Narendra Modi’s brazen attacks are a catastrophe | Kenan Malik,Opinion,2023-02-19T08:00:02Z
Indian journalists say BBC raid part of drive to intimidate media,World news,2023-02-18T05:00:29Z
The Guardian view on India’s tax raid on the BBC: Modi v the media | Editorial,Opinion,2023-02-16T18:44:53Z
Could trouble for Adani trip up Narendra Modi?,Business,2023-02-15T19:00:19Z
Tax raids at BBC offices in India enter second day,World news,2023-02-15T05:56:33Z
BBC offices in India raided by tax officials amid Modi documentary fallout,World news,2023-02-14T12:47:50Z
India urges citizens to ‘hug a cow’ on Valentine’s Day,World news,2023-02-09T13:05:49Z
Narendra Modi is struggling to be both anti-Muslim strongman and global leader | Mukul Kesavan,Opinion,2023-02-08T12:00:15Z
‘Financial pariah’: Adani crisis grows with protests in India over fraud claims,Business,2023-02-07T07:32:10Z
Bollywood is obsessed with Pakistan. We’d be flattered if it weren’t so nasty,Film,2023-02-03T07:00:05Z
Tory peer withdraws ‘racially charged’ comments,Politics,2023-01-31T18:18:47Z
Tory peer accused of ‘racially charged’ attack on BBC Modi documentary,Politics,2023-01-30T12:22:19Z
"Rahul Gandhi’s yatra: how a 2,200-mile march revitalised India’s ailing opposition",World news,2023-01-27T07:32:35Z
Indian ban on BBC Modi film puts Musk’s Twitter ‘free speech’ vow to the test,World news,2023-01-25T14:14:43Z
TV tonight: a sobering look at Narendra Modi’s treatment of India’s Muslims,Television & radio,2023-01-17T06:20:05Z
Modi’s BJP clinches landslide election victory in Gujarat,World news,2022-12-08T15:57:46Z
Billionaire Modi ally on verge of taking over independent Indian news channel ,World news,2022-12-01T13:39:06Z
The Guardian view on Modi’s India: the danger of exporting Hindu chauvinism | Editorial,Opinion,2022-11-27T18:08:03Z
Sunak hints he will slow down progress on India trade deal,Politics,2022-11-15T22:30:03Z
‘Groundbreaking milestone’: world reacts to Rishi Sunak as new British PM,Politics,2022-10-25T13:15:10Z
"Indian minister calls for abolition of 1,500 laws dating back to Raj",World news,2022-10-25T08:47:09Z
Modi employs new tool in India’s war against the English language: Hindi medical degrees,World news,2022-10-22T04:00:58Z
‘Painful memories’: what will the royal family do with the Koh-i-noor diamond?,UK news,2022-10-14T12:18:07Z
Narendra Modi’s BJP bans Indian Islamic group for ‘terrorist’ links,World news,2022-09-29T12:56:01Z
Shinzo Abe funeral: world figures fly in to political storm over state service for Japan former PM,World news,2022-09-26T05:56:23Z
Ukraine war to take centre stage at UN as west and Russia vie for support,World news,2022-09-20T05:00:03Z
Indian government accused of ceding land in Himalayas to China,World news,2022-09-19T09:58:37Z
Russia-Ukraine war latest: what we know on day 207 of the invasion,World news,2022-09-18T01:29:02Z
India is quietly laying claim to economic superpower status,World news,2022-09-12T07:00:06Z
World leaders pay tribute after death of Queen Elizabeth II,UK news,2022-09-08T20:04:58Z
Muslim woman raped by Hindu mob shocked by release of 11 jailed men ,World news,2022-08-18T12:24:34Z
"After Independence Day, how can India get rid of 200m flags?",World news,2022-08-18T04:00:36Z
India: more countries join Muslim protests over Muhammad remarks,World news,2022-06-07T11:26:27Z
Tory devotion to ‘dear friend’ Modi says so much about needy post-Brexit Britain | Nick Cohen,Opinion,2022-05-29T06:00:03Z
Albanese insists ‘we will determine our values’ after Chinese premier reaches out to new PM,Australia news,2022-05-24T09:47:48Z
Boris Johnson is a patsy for populist leaders – as his India visit shows | Mukul Kesavan,Opinion,2022-04-25T13:03:13Z
Johnson vows to stop UK exports to India ending up in Russia,Politics,2022-04-22T19:20:45Z
The Guardian view on Boris Johnson in India: flying into trouble | Editorial,Opinion,2022-04-22T17:30:30Z
India and UK to press ahead with talks on free trade deal,World news,2022-04-22T09:45:21Z
"MPs should wait for ‘full facts’ on Partygate, says Johnson in India",Politics,2022-04-21T11:23:59Z
"‘Hatred, bigotry and untruth’: communal violence grips India",World news,2022-04-18T15:55:10Z
"Ministers are old enough, but not wise enough to go it alone | Brief letters ",Television & radio,2022-04-11T16:56:12Z
"Russia and India will find ways to trade despite sanctions, says Lavrov",World news,2022-04-01T14:21:57Z
Liz Truss’s India visit made awkward by presence of Russian counterpart,Politics,2022-03-30T21:30:30Z
Low turnout for India’s national two-day strike as 50 million join protests,Global development,2022-03-30T12:37:17Z
A Night of Knowing Nothing review – kaleidoscopic doc is cinephilia at its best,Film,2022-03-28T08:00:48Z
Rift over Ukraine exposed as high-powered UK delegation to India called off,Politics,2022-03-24T07:00:52Z
BJP claims election victory in four states including Uttar Pradesh,World news,2022-03-10T15:05:24Z
"The world leaders pushing for peace in Ukraine, and their motives",World news,2022-03-07T16:33:08Z
‘A flashy theme park’: outcry over Modi’s plans for the Gandhi ashram,World news,2022-02-25T05:30:04Z
Editor arrested in Kashmir as press crackdown escalates ,World news,2022-02-06T15:30:20Z
"Why PK dumped PVO, ABC banned ‘Scomo’ and Kyle left Jackie saying ‘oh’ | Weekly Beast",Media,2022-02-04T00:39:07Z
Oxfam says its work in India is imperilled by ban on foreign funding,World news,2022-01-02T14:20:07Z
Pegasus spyware ‘found on phone of jailed critic of Narendra Modi ’,News,2021-12-17T05:30:19Z
How a terrorism law in India is being used to silence Modi’s critics,World news,2021-12-10T05:00:30Z
India’s farmers have won – but this doesn’t mean Modi is softening | Rukmini S,Opinion,2021-11-23T09:50:06Z
The Guardian view on Modi’s failed farm laws: eating humble pie | Editorial,Opinion,2021-11-22T19:05:22Z
Indian PM Narendra Modi to repeal farm laws after year of protests,World news,2021-11-19T17:29:22Z
‘The strongman blinks’: why Narendra Modi has backed down to farmers,World news,2021-11-19T16:14:05Z
Reaching net zero by 2070 is possible – but it’s what India does right now that matters | Joydeep Gupta,Opinion,2021-11-05T12:00:03Z
Is India’s pledge of net zero by 2070 an ambitious target – or worthless words?,World news,2021-11-05T07:00:13Z
"India’s huge solar uptake has boosted climate goals, says minister",World news,2021-11-03T13:01:30Z
Scott Morrison tells Cop26 Australia will exceed 2030 target in bid to fend off criticism,Australia news,2021-11-01T20:16:49Z
What happened at Cop26 today – day one at a glance,Environment,2021-11-01T19:01:20Z
Narendra Modi pledges India will reach net zero emissions by 2070,World news,2021-11-01T17:20:20Z
Indian supreme court orders inquiry into state’s use of Pegasus spyware,News,2021-10-27T10:01:42Z
Narendra Modi exploits nationalism to distract Indians from a failing economy | Ravinder Kaur,Opinion,2021-08-20T09:00:31Z
The unravelling of a conspiracy: were the 16 charged with plotting to kill India’s prime minister framed?,World news,2021-08-12T11:00:16Z
Modi accused of treason by opposition over India spyware disclosures,News,2021-07-19T17:33:06Z
Key Modi rival Rahul Gandhi among potential Indian targets of NSO client,News,2021-07-19T11:00:56Z
Student’s rape and murder puts India’s sexual violence under spotlight again,Global development,2021-06-11T05:00:10Z
Modi’s bulldozing of parliament shows him as the architect of a Hindu Taliban | Anish Kapoor,Art and design,2021-06-04T14:27:31Z
Trouble in paradise: Indian islands face ‘brazen’ new laws and Covid crisis,Global development,2021-06-04T05:00:30Z
Officials take police action against leaders of bulldozed mosque in India,World news,2021-05-21T12:29:54Z
Indian authors speak out over plan to reissue Narendra Modi exam book,Books,2021-05-20T12:53:37Z
‘Everybody is angry’: Modi under fire over India’s Covid second wave,World news,2021-05-17T04:00:13Z
India’s Covid anguish fuels calls to release rights activists from jail,World news,2021-05-13T09:07:05Z
The darkest hour- India’s Covid crisis: Inside the 7 May Guardian Weekly,News,2021-05-05T08:00:09Z
"Looking at India from afar, I’m furious at Modi’s wilful neglect of my homeland",Opinion,2021-05-04T16:13:27Z
Johnson and Modi to agree UK-India trade partnership in virtual talks,Politics,2021-05-03T21:30:11Z
Covering India’s Covid crisis: ‘Hundreds of journalists have lost their lives’,Membership,2021-05-03T06:00:53Z
Narendra Modi loses key state election as Covid grips India,World news,2021-05-02T16:38:36Z
Grief and anger as Covid victims overwhelm Delhi’s crematoriums ,World news,2021-04-30T11:25:02Z
Facebook blocked hashtag calling for Narendra Modi to resign over pandemic,Technology,2021-04-28T21:52:20Z
Vaccine hoarding is all the more disturbing as a Covid disaster unfolds in India  | Gaby Hinsliff,Opinion,2021-04-26T13:55:29Z
US and UK lead global efforts to help India’s Covid crisis,World news,2021-04-25T18:26:57Z
India's government has abandoned its citizens to face a deadly second wave alone | Rukmini S,Opinion,2021-04-21T11:23:40Z
Why is India seeing such a huge surge in Covid-19 cases?,World news,2021-04-21T05:33:06Z
Narendra Modi: Covid resurgence in India like being ‘hit by a storm’ ,World news,2021-04-20T17:13:49Z
Tech giants happy to do Narendra Modi’s bidding in return for access to Indian market | John Naughton,Technology,2021-04-17T15:00:37Z
‘A tsunami of cases’: desperation as Covid second wave batters India,World news,2021-04-14T02:00:26Z
UK faces difficult path as it resumes courtship with India,UK news,2021-04-06T04:00:55Z
Modi critic's resignation from Indian university post prompts outcry,World news,2021-03-19T14:53:13Z
UK foreign policy review will focus on China's growing power,Politics,2021-03-05T16:41:25Z
"British Sikh 'tortured' in India after arrest must be freed, say MPs",World news,2021-02-28T19:47:37Z
"If India can charge journalists with ‘sedition’ for doing their jobs, it has no free press | Hartosh Singh Bal",Opinion,2021-02-06T10:00:38Z
Violent clashes as Indian farmers storm Delhi's Red Fort,World news,2021-01-26T13:44:52Z
The Guardian view on India's farming revolt: a bitter harvest | Editorial,Opinion,2021-01-24T18:25:05Z
'We are worried': Indians hopeful but anxious as vaccination drive begins,Global development,2021-01-17T16:33:56Z
Trump social media ban sparks calls for action against other populist leaders,Media,2021-01-17T08:00:12Z
Mahatma Gandhi's killer venerated as Hindu nationalism resurges in India,World news,2021-01-17T05:00:07Z
India begins world's biggest Covid vaccination programme,World news,2021-01-16T08:57:01Z
India's supreme court gives go-ahead for controversial new parliament building,World news,2021-01-05T18:03:50Z
India's approval of covid vaccines triggers mass immunisation drive,World news,2021-01-03T13:47:14Z
